Text_Response,HealthLiteracy_Score,HealthNumeracy_Score,TrustInDoctors_Score,AnxietyVisiting_Score,DrugExperience_Rating,Age,Gender_Female,Gender_Male,Gender_Non-binary,Race_Asian,Race_Black,Race_Not Specified,Race_Other,Race_White,"Income_< £30,000","Income_> £50,000","Income_£30,000-£50,000",Education_College Diploma,Education_High School,Education_Postgraduate,Education_University Degree
i always research symptoms and medication before appointments,9.3,1.8,2.8,1.4,2.3,41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
my physician always listens to me,4.5,3.4,8.5,4.2,2.1,56,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ive had the same doctor for years and i feel confident in their care after a few trials i found the right medication for my condition,5.9,2.3,8.2,1.7,4.9,47,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i always research symptoms and medication before appointments clinics give me panic attacks sometimes,8.0,2.8,1.0,8.3,3.8,32,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
medical journals help me stay informed about my condition,7.6,7.9,1.7,4.2,1.5,76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
my doctor uses terminology i understand well,8.8,6.6,4.0,1.6,2.2,74,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i get sweaty palms before appointments,3.9,7.6,6.7,9.0,2.9,33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
medical terms confuse me a lot my trust in healthcare professionals is very high medication has been effective in managing my symptoms,2.1,7.4,7.8,6.1,4.1,45,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
its hard to follow what my doctor says medication has been effective in managing my symptoms,1.3,6.7,3.8,5.6,4.6,68,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i trust my doctor and their advice completely,3.2,4.7,7.8,3.1,1.3,56,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i feel really anxious before seeing any doctor ive had the same doctor for years and i feel confident in their care,3.6,2.5,9.4,8.3,3.5,61,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i understand most medical terms and ask informed questions clinics give me panic attacks sometimes,8.8,8.2,2.7,9.0,3.2,45,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
my doctor uses terminology i understand well,8.3,9.1,3.9,2.0,1.9,50,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
my trust in healthcare professionals is very high,4.8,8.4,8.7,1.1,3.0,41,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
some drugs caused side effects but i worked with my doctor to adjust,4.8,3.0,2.1,4.0,4.8,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i trust my doctor and their advice completely medication has been effective in managing my symptoms,3.9,5.7,7.3,4.3,4.9,33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
medical journals help me stay informed about my condition,9.7,3.3,5.5,3.7,2.1,70,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medical terms confuse me a lot,1.3,6.5,5.5,1.5,2.1,78,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
medical journals help me stay informed about my condition some drugs caused side effects but i worked with my doctor to adjust,9.2,3.2,2.3,5.4,4.9,77,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
my physician always listens to me,3.2,7.0,7.9,3.1,3.9,46,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
my doctor uses terminology i understand well,8.5,3.9,2.7,1.4,3.4,55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i feel confident navigating health portals and understanding prescriptions,7.1,1.1,5.6,3.0,3.6,22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
i feel lost when reading health information i get sweaty palms before appointments,2.6,7.2,4.5,9.4,1.6,60,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i feel really anxious before seeing any doctor i trust my doctor and their advice completely,4.1,2.0,9.3,8.9,2.0,48,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
i dont get what doctors say most of the time doctors have always helped me recover well,1.8,9.1,9.1,6.7,2.4,47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
clinics give me panic attacks sometimes my trust in healthcare professionals is very high medication has been effective in managing my symptoms,4.1,7.5,9.1,9.0,4.1,64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
clinics give me panic attacks sometimes,6.8,1.8,2.5,9.1,3.4,26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
i dont get what doctors say most of the time my trust in healthcare professionals is very high,1.1,1.9,7.0,1.0,1.6,73,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i trust my doctor and their advice completely prescription drugs really helped my chronic pain,3.1,3.9,7.7,6.8,4.4,44,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
clinics give me panic attacks sometimes,3.2,9.8,4.5,9.0,3.5,36,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
i feel confident navigating health portals and understanding prescriptions,8.2,5.5,6.2,5.4,1.8,30,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i always research symptoms and medication before appointments,7.5,3.5,1.2,6.8,1.7,21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
i understand most medical terms and ask informed questions i trust my doctor and their advice completely,9.5,9.6,9.2,4.3,1.1,79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i understand most medical terms and ask informed questions i get sweaty palms before appointments i trust my doctor and their advice completely i have had mostly positive experiences with prescribed medications,9.4,4.9,9.7,9.7,4.4,61,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ive had the same doctor for years and i feel confident in their care,3.7,4.5,8.7,3.9,1.7,23,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
doctors have always helped me recover well,6.0,9.4,7.3,6.1,1.4,31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
after a few trials i found the right medication for my condition,6.5,9.9,2.3,5.7,4.5,26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i always research symptoms and medication before appointments my trust in healthcare professionals is very high,7.7,7.3,7.3,4.2,2.2,18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i always research symptoms and medication before appointments clinics give me panic attacks sometimes ive had the same doctor for years and i feel confident in their care,8.3,8.3,8.8,9.2,3.0,31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i get sweaty palms before appointments i have had mostly positive experiences with prescribed medications,5.5,8.2,6.8,7.3,4.2,36,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
my doctor uses terminology i understand well,9.0,4.0,4.4,1.8,3.3,18,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i often nod even when i dont understand,1.3,5.2,5.9,3.6,3.4,34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
medical terms confuse me a lot ive had the same doctor for years and i feel confident in their care,1.3,1.3,8.4,4.2,1.5,36,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i often nod even when i dont understand,1.5,5.8,5.9,6.7,3.9,58,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i understand most medical terms and ask informed questions visiting the doctor makes me nervous,9.8,5.6,3.9,8.2,2.1,67,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
i get sweaty palms before appointments after a few trials i found the right medication for my condition,5.0,1.7,1.2,9.7,4.3,53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medical journals help me stay informed about my condition,7.3,4.7,2.6,2.4,2.0,71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
some drugs caused side effects but i worked with my doctor to adjust,5.9,7.4,6.9,3.5,4.8,26,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i feel confident navigating health portals and understanding prescriptions,7.6,6.0,6.5,4.8,2.0,31,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i dont get what doctors say most of the time my physician always listens to me,1.4,8.7,7.3,5.3,1.4,77,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
clinics give me panic attacks sometimes,6.8,1.2,6.3,9.5,3.3,40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
some drugs caused side effects but i worked with my doctor to adjust,4.5,6.8,5.1,5.9,4.8,43,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i trust my doctor and their advice completely,4.5,9.7,9.1,2.8,1.3,59,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i dont get what doctors say most of the time i feel really anxious before seeing any doctor,1.9,1.2,1.8,7.1,1.3,25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
visiting the doctor makes me nervous,3.9,8.6,1.2,8.3,2.1,56,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i often nod even when i dont understand i feel really anxious before seeing any doctor,2.1,7.3,6.7,8.9,3.9,56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
i feel confident navigating health portals and understanding prescriptions visiting the doctor makes me nervous after a few trials i found the right medication for my condition,8.2,3.5,2.6,7.8,4.2,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i always research symptoms and medication before appointments i avoid going to hospitals unless absolutely necessary,9.9,4.7,4.3,8.0,2.4,78,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i feel confident navigating health portals and understanding prescriptions i get sweaty palms before appointments prescription drugs really helped my chronic pain,9.4,8.7,4.9,7.8,4.0,50,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
i feel lost when reading health information i get sweaty palms before appointments,1.9,9.1,5.5,8.4,2.3,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i feel confident navigating health portals and understanding prescriptions clinics give me panic attacks sometimes,9.1,4.5,1.1,9.1,1.4,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
doctors have always helped me recover well,3.9,9.6,9.6,6.2,3.5,45,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
clinics give me panic attacks sometimes after a few trials i found the right medication for my condition,5.0,3.6,4.0,7.1,4.0,46,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
my doctor uses terminology i understand well,8.1,8.1,1.8,5.4,1.2,36,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i trust my doctor and their advice completely,5.9,5.0,9.0,4.2,1.5,61,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
its hard to follow what my doctor says,2.3,7.9,6.6,1.9,1.3,20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
medical journals help me stay informed about my condition visiting the doctor makes me nervous my physician always listens to me,7.3,1.7,8.4,7.4,1.3,44,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
medical terms confuse me a lot prescription drugs really helped my chronic pain,1.8,9.9,4.4,4.3,4.3,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
i understand most medical terms and ask informed questions my physician always listens to me,9.5,9.9,7.8,4.4,1.3,69,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i understand most medical terms and ask informed questions i get sweaty palms before appointments,8.0,6.0,4.8,9.2,1.4,76,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
its hard to follow what my doctor says ive had the same doctor for years and i feel confident in their care prescription drugs really helped my chronic pain,2.1,6.8,7.7,6.3,4.8,71,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
my physician always listens to me some drugs caused side effects but i worked with my doctor to adjust,4.4,3.6,8.8,3.0,4.9,71,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
i often nod even when i dont understand i avoid going to hospitals unless absolutely necessary,1.1,9.7,1.4,9.0,3.1,46,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
my doctor uses terminology i understand well visiting the doctor makes me nervous,9.9,1.7,6.0,9.7,3.1,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
i always research symptoms and medication before appointments clinics give me panic attacks sometimes medication has been effective in managing my symptoms,9.1,1.4,3.5,9.6,4.6,44,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
visiting the doctor makes me nervous i have had mostly positive experiences with prescribed medications,4.2,6.3,1.7,9.8,4.9,48,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
medical journals help me stay informed about my condition clinics give me panic attacks sometimes,7.3,5.8,3.8,8.3,3.7,65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i often nod even when i dont understand visiting the doctor makes me nervous my physician always listens to me,2.5,9.2,8.4,9.5,3.9,35,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
visiting the doctor makes me nervous my trust in healthcare professionals is very high,6.5,4.8,9.4,8.8,1.2,71,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
medical terms confuse me a lot visiting the doctor makes me nervous my physician always listens to me,1.2,4.4,8.3,9.9,1.6,54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
visiting the doctor makes me nervous ive had the same doctor for years and i feel confident in their care some drugs caused side effects but i worked with my doctor to adjust,6.3,4.4,9.7,8.6,4.4,21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
after a few trials i found the right medication for my condition,5.2,4.7,3.5,1.5,4.5,66,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
my doctor uses terminology i understand well i trust my doctor and their advice completely after a few trials i found the right medication for my condition,8.3,10.0,10.0,6.0,4.1,48,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i understand most medical terms and ask informed questions,9.5,8.6,3.2,5.1,1.5,66,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i understand most medical terms and ask informed questions clinics give me panic attacks sometimes,9.6,6.5,3.1,7.0,3.5,27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
my trust in healthcare professionals is very high i have had mostly positive experiences with prescribed medications,4.2,2.0,7.0,5.7,4.1,47,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
after a few trials i found the right medication for my condition,5.7,8.7,6.0,6.0,4.5,79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
visiting the doctor makes me nervous,4.6,2.2,1.3,7.8,3.5,55,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
i always research symptoms and medication before appointments,7.3,2.9,2.2,1.1,2.4,78,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
i avoid going to hospitals unless absolutely necessary,6.3,4.5,4.9,9.1,2.4,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
after a few trials i found the right medication for my condition,5.6,8.1,4.6,6.6,4.4,52,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
i feel confident navigating health portals and understanding prescriptions doctors have always helped me recover well,9.5,2.3,9.3,5.4,2.0,72,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
medical terms confuse me a lot after a few trials i found the right medication for my condition,2.2,6.8,2.6,4.1,4.6,70,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
its hard to follow what my doctor says,2.5,3.5,2.6,1.8,1.5,39,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
i feel lost when reading health information prescription drugs really helped my chronic pain,1.4,8.2,6.7,1.7,4.5,74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
medical journals help me stay informed about my condition visiting the doctor makes me nervous medication has been effective in managing my symptoms,9.3,1.5,3.5,8.3,4.0,23,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
its hard to follow what my doctor says,2.7,2.9,4.3,5.4,3.5,68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
doctors have always helped me recover well,4.3,5.2,7.7,1.3,2.0,62,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i feel confident navigating health portals and understanding prescriptions,7.4,9.1,5.6,5.8,1.4,53,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i feel lost when reading health information,1.2,3.9,2.9,3.9,1.5,32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
medical journals help me stay informed about my condition i avoid going to hospitals unless absolutely necessary my trust in healthcare professionals is very high,9.0,6.3,7.1,8.1,3.0,78,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medical terms confuse me a lot i avoid going to hospitals unless absolutely necessary,1.8,5.8,6.3,7.7,2.7,80,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i feel lost when reading health information,2.1,3.6,4.3,6.8,3.3,32,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i feel lost when reading health information,2.4,3.2,2.4,2.7,2.1,62,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
medical terms confuse me a lot,2.6,9.1,1.7,5.7,2.6,36,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i always research symptoms and medication before appointments visiting the doctor makes me nervous medication has been effective in managing my symptoms,9.8,2.0,4.6,9.7,4.5,79,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i understand most medical terms and ask informed questions i avoid going to hospitals unless absolutely necessary after a few trials i found the right medication for my condition,8.4,3.3,2.5,7.0,4.7,22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
i get sweaty palms before appointments,6.0,6.1,3.5,7.9,1.7,33,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
my doctor uses terminology i understand well i trust my doctor and their advice completely,9.9,3.9,8.3,3.3,3.7,28,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i always research symptoms and medication before appointments,7.8,6.4,5.2,4.7,2.4,44,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i always research symptoms and medication before appointments my physician always listens to me,9.4,8.5,9.7,2.1,3.9,32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
medical journals help me stay informed about my condition i feel really anxious before seeing any doctor,9.4,2.6,1.6,7.7,3.3,77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
i always research symptoms and medication before appointments i trust my doctor and their advice completely,8.6,2.3,8.2,2.8,1.7,52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
its hard to follow what my doctor says i trust my doctor and their advice completely,2.5,8.3,7.0,5.7,2.4,28,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i feel confident navigating health portals and understanding prescriptions my trust in healthcare professionals is very high,8.9,4.5,8.3,5.0,2.5,47,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
doctors have always helped me recover well,5.2,3.7,7.7,5.5,1.9,52,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i always research symptoms and medication before appointments clinics give me panic attacks sometimes,9.1,4.5,5.9,9.2,3.5,65,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
