Text_Response,HealthLiteracy_Score,HealthNumeracy_Score,TrustInDoctors_Score,AnxietyVisiting_Score,DrugExperience_Rating,Age,Gender,Race,Income,Education
I get sweaty palms before appointments.,3.9,7.6,6.7,9.0,2.9,33,Non-binary,Not Specified,"> £50,000",University Degree
Medical terms confuse me a lot. My trust in healthcare professionals is very high. Medication has been effective in managing my symptoms.,2.1,7.4,7.8,6.1,4.1,45,Non-binary,Other,"£30,000-£50,000",College Diploma
,5.4,5.7,4.8,1.2,1.4,23,Male,White,"< £30,000",College Diploma
It’s hard to follow what my doctor says. Medication has been effective in managing my symptoms.,1.3,6.7,3.8,5.6,4.6,68,Non-binary,Other,"> £50,000",High School
I trust my doctor and their advice completely.,3.2,4.7,7.8,3.1,1.3,56,Female,Not Specified,"£30,000-£50,000",High School
"I feel really anxious before seeing any doctor. I’ve had the same doctor for years, and I feel confident in their care.",3.6,2.5,9.4,8.3,3.5,61,Non-binary,Asian,"> £50,000",University Degree
I understand most medical terms and ask informed questions. Clinics give me panic attacks sometimes.,8.8,8.2,2.7,9.0,3.2,45,Male,Other,"< £30,000",University Degree
My doctor uses terminology I understand well.,8.3,9.1,3.9,2.0,1.9,50,Male,Asian,"> £50,000",College Diploma
My trust in healthcare professionals is very high.,4.8,8.4,8.7,1.1,3.0,41,Male,Not Specified,"> £50,000",High School
"Some drugs caused side effects, but I worked with my doctor to adjust.",4.8,3.0,2.1,4.0,4.8,38,Female,White,"< £30,000",University Degree
I trust my doctor and their advice completely. Medication has been effective in managing my symptoms.,3.9,5.7,7.3,4.3,4.9,33,Male,Black,"> £50,000",High School
Medical journals help me stay informed about my condition.,9.7,3.3,5.5,3.7,2.1,70,Male,Not Specified,"< £30,000",College Diploma
Medical terms confuse me a lot.,1.3,6.5,5.5,1.5,2.1,78,Non-binary,Black,"£30,000-£50,000",Postgraduate
"Medical journals help me stay informed about my condition. Some drugs caused side effects, but I worked with my doctor to adjust.",9.2,3.2,2.3,5.4,4.9,77,Non-binary,Black,"> £50,000",University Degree
My physician always listens to me.,3.2,7.0,7.9,3.1,3.9,46,Non-binary,Other,"< £30,000",College Diploma
,4.3,6.7,6.7,5.8,1.4,22,Female,White,"> £50,000",College Diploma
My doctor uses terminology I understand well.,8.5,3.9,2.7,1.4,3.4,55,Male,White,"< £30,000",High School
I feel confident navigating health portals and understanding prescriptions.,7.1,1.1,5.6,3.0,3.6,22,Male,Asian,"< £30,000",College Diploma
I feel lost when reading health information. I get sweaty palms before appointments.,2.6,7.2,4.5,9.4,1.6,60,Female,Black,"> £50,000",College Diploma
I feel really anxious before seeing any doctor. I trust my doctor and their advice completely.,4.1,2.0,9.3,8.9,2.0,48,Male,Other,"£30,000-£50,000",College Diploma
,6.9,8.4,6.0,5.8,2.0,60,Female,Asian,"£30,000-£50,000",Postgraduate
I don’t get what doctors say most of the time. Doctors have always helped me recover well.,1.8,9.1,9.1,6.7,2.4,47,Non-binary,White,"> £50,000",High School
Clinics give me panic attacks sometimes. My trust in healthcare professionals is very high. Medication has been effective in managing my symptoms.,4.1,7.5,9.1,9.0,4.1,64,Female,White,"< £30,000",College Diploma
Clinics give me panic attacks sometimes.,6.8,1.8,2.5,9.1,3.4,26,Female,Black,"£30,000-£50,000",Postgraduate
I don’t get what doctors say most of the time. My trust in healthcare professionals is very high.,1.1,1.9,7.0,1.0,1.6,73,Male,Other,"> £50,000",High School
,5.9,7.2,6.9,3.0,3.8,71,Male,White,"< £30,000",College Diploma
I trust my doctor and their advice completely. Prescription drugs really helped my chronic pain.,3.1,3.9,7.7,6.8,4.4,44,Female,Other,"< £30,000",Postgraduate
,6.9,6.1,1.8,4.3,2.1,42,Male,Other,"£30,000-£50,000",Postgraduate
Clinics give me panic attacks sometimes.,3.2,9.8,4.5,9.0,3.5,36,Female,Not Specified,"> £50,000",Postgraduate
I feel confident navigating health portals and understanding prescriptions.,8.2,5.5,6.2,5.4,1.8,30,Female,Black,"< £30,000",High School
I always research symptoms and medication before appointments.,7.5,3.5,1.2,6.8,1.7,21,Male,Not Specified,"£30,000-£50,000",College Diploma
I understand most medical terms and ask informed questions. I trust my doctor and their advice completely.,9.5,9.6,9.2,4.3,1.1,79,Non-binary,White,"< £30,000",High School
I understand most medical terms and ask informed questions. I get sweaty palms before appointments. I trust my doctor and their advice completely. I have had mostly positive experiences with prescribed medications.,9.4,4.9,9.7,9.7,4.4,61,Male,Other,"< £30,000",College Diploma
"I’ve had the same doctor for years, and I feel confident in their care.",3.7,4.5,8.7,3.9,1.7,23,Female,Not Specified,"> £50,000",University Degree
Doctors have always helped me recover well.,6.0,9.4,7.3,6.1,1.4,31,Non-binary,Asian,"< £30,000",University Degree
"After a few trials, I found the right medication for my condition.",6.5,9.9,2.3,5.7,4.5,26,Non-binary,Asian,"£30,000-£50,000",University Degree
I always research symptoms and medication before appointments. My trust in healthcare professionals is very high.,7.7,7.3,7.3,4.2,2.2,18,Female,Not Specified,"> £50,000",High School
"I always research symptoms and medication before appointments. Clinics give me panic attacks sometimes. I’ve had the same doctor for years, and I feel confident in their care.",8.3,8.3,8.8,9.2,3.0,31,Non-binary,Asian,"< £30,000",University Degree
I get sweaty palms before appointments. I have had mostly positive experiences with prescribed medications.,5.5,8.2,6.8,7.3,4.2,36,Male,Other,"> £50,000",University Degree
My doctor uses terminology I understand well.,9.0,4.0,4.4,1.8,3.3,18,Non-binary,Not Specified,"£30,000-£50,000",High School
I often nod even when I don’t understand.,1.3,5.2,5.9,3.6,3.4,34,Male,White,"> £50,000",College Diploma
"Medical terms confuse me a lot. I’ve had the same doctor for years, and I feel confident in their care.",1.3,1.3,8.4,4.2,1.5,36,Non-binary,Black,"> £50,000",University Degree
,5.7,7.9,2.9,6.6,1.3,50,Female,Asian,"< £30,000",High School
I often nod even when I don’t understand.,1.5,5.8,5.9,6.7,3.9,58,Female,Asian,"< £30,000",High School
I understand most medical terms and ask informed questions. Visiting the doctor makes me nervous.,9.8,5.6,3.9,8.2,2.1,67,Male,Asian,"< £30,000",Postgraduate
"I get sweaty palms before appointments. After a few trials, I found the right medication for my condition.",5.0,1.7,1.2,9.7,4.3,53,Male,White,"< £30,000",College Diploma
Medical journals help me stay informed about my condition.,7.3,4.7,2.6,2.4,2.0,71,Female,Not Specified,"> £50,000",College Diploma
"Some drugs caused side effects, but I worked with my doctor to adjust.",5.9,7.4,6.9,3.5,4.8,26,Male,Asian,"£30,000-£50,000",High School
I feel confident navigating health portals and understanding prescriptions.,7.6,6.0,6.5,4.8,2.0,31,Non-binary,Black,"> £50,000",High School
,4.2,7.8,1.1,2.0,1.2,67,Non-binary,Other,"> £50,000",College Diploma
I don’t get what doctors say most of the time. My physician always listens to me.,1.4,8.7,7.3,5.3,1.4,77,Male,Black,"< £30,000",Postgraduate
,5.4,5.3,2.6,4.9,2.6,65,Female,Other,"> £50,000",College Diploma
,6.5,6.7,1.4,4.4,3.5,35,Male,White,"£30,000-£50,000",High School
,5.5,8.7,6.9,2.5,1.3,72,Female,Black,"< £30,000",Postgraduate
Clinics give me panic attacks sometimes.,6.8,1.2,6.3,9.5,3.3,40,Female,Black,"< £30,000",High School
"Some drugs caused side effects, but I worked with my doctor to adjust.",4.5,6.8,5.1,5.9,4.8,43,Female,Asian,"< £30,000",University Degree
I trust my doctor and their advice completely.,4.5,9.7,9.1,2.8,1.3,59,Non-binary,Other,"> £50,000",University Degree
I don’t get what doctors say most of the time. I feel really anxious before seeing any doctor.,1.9,1.2,1.8,7.1,1.3,25,Female,Black,"> £50,000",University Degree
Visiting the doctor makes me nervous.,3.9,8.6,1.2,8.3,2.1,56,Female,Asian,"> £50,000",University Degree
I often nod even when I don’t understand. I feel really anxious before seeing any doctor.,2.1,7.3,6.7,8.9,3.9,56,Non-binary,White,"£30,000-£50,000",College Diploma
"I feel confident navigating health portals and understanding prescriptions. Visiting the doctor makes me nervous. After a few trials, I found the right medication for my condition.",8.2,3.5,2.6,7.8,4.2,63,Female,White,"> £50,000",College Diploma
I always research symptoms and medication before appointments. I avoid going to hospitals unless absolutely necessary.,9.9,4.7,4.3,8.0,2.4,78,Non-binary,Asian,"> £50,000",University Degree
I feel confident navigating health portals and understanding prescriptions. I get sweaty palms before appointments. Prescription drugs really helped my chronic pain.,9.4,8.7,4.9,7.8,4.0,50,Female,Other,"£30,000-£50,000",Postgraduate
I feel lost when reading health information. I get sweaty palms before appointments.,1.9,9.1,5.5,8.4,2.3,30,Female,Other,"> £50,000",College Diploma
I feel confident navigating health portals and understanding prescriptions. Clinics give me panic attacks sometimes.,9.1,4.5,1.1,9.1,1.4,37,Female,Not Specified,"< £30,000",University Degree
Doctors have always helped me recover well.,3.9,9.6,9.6,6.2,3.5,45,Non-binary,Not Specified,"> £50,000",University Degree
"Clinics give me panic attacks sometimes. After a few trials, I found the right medication for my condition.",5.0,3.6,4.0,7.1,4.0,46,Female,Black,"> £50,000",Postgraduate
My doctor uses terminology I understand well.,8.1,8.1,1.8,5.4,1.2,36,Non-binary,Not Specified,"£30,000-£50,000",High School
I trust my doctor and their advice completely.,5.9,5.0,9.0,4.2,1.5,61,Female,Black,"< £30,000",College Diploma
It’s hard to follow what my doctor says.,2.3,7.9,6.6,1.9,1.3,20,Male,Other,"> £50,000",High School
Medical journals help me stay informed about my condition. Visiting the doctor makes me nervous. My physician always listens to me.,7.3,1.7,8.4,7.4,1.3,44,Non-binary,Not Specified,"< £30,000",Postgraduate
Medical terms confuse me a lot. Prescription drugs really helped my chronic pain.,1.8,9.9,4.4,4.3,4.3,27,Non-binary,White,"< £30,000",Postgraduate
I understand most medical terms and ask informed questions. My physician always listens to me.,9.5,9.9,7.8,4.4,1.3,69,Non-binary,Not Specified,"£30,000-£50,000",High School
I understand most medical terms and ask informed questions. I get sweaty palms before appointments.,8.0,6.0,4.8,9.2,1.4,76,Male,Other,"< £30,000",Postgraduate
,5.4,1.1,5.2,1.5,1.5,56,Female,Other,"> £50,000",Postgraduate
"It’s hard to follow what my doctor says. I’ve had the same doctor for years, and I feel confident in their care. Prescription drugs really helped my chronic pain.",2.1,6.8,7.7,6.3,4.8,71,Non-binary,Other,"< £30,000",Postgraduate
"My physician always listens to me. Some drugs caused side effects, but I worked with my doctor to adjust.",4.4,3.6,8.8,3.0,4.9,71,Non-binary,Asian,"> £50,000",Postgraduate
I often nod even when I don’t understand. I avoid going to hospitals unless absolutely necessary.,1.1,9.7,1.4,9.0,3.1,46,Male,Asian,"< £30,000",University Degree
My doctor uses terminology I understand well. Visiting the doctor makes me nervous.,9.9,1.7,6.0,9.7,3.1,75,Non-binary,White,"< £30,000",College Diploma
,6.7,7.3,5.1,6.6,3.3,62,Male,Black,"< £30,000",Postgraduate
I always research symptoms and medication before appointments. Clinics give me panic attacks sometimes. Medication has been effective in managing my symptoms.,9.1,1.4,3.5,9.6,4.6,44,Female,Not Specified,"£30,000-£50,000",Postgraduate
,5.1,6.6,3.5,2.7,2.9,42,Non-binary,White,"> £50,000",Postgraduate
Visiting the doctor makes me nervous. I have had mostly positive experiences with prescribed medications.,4.2,6.3,1.7,9.8,4.9,48,Male,Asian,"£30,000-£50,000",Postgraduate
Medical journals help me stay informed about my condition. Clinics give me panic attacks sometimes.,7.3,5.8,3.8,8.3,3.7,65,Non-binary,Not Specified,"> £50,000",College Diploma
I often nod even when I don’t understand. Visiting the doctor makes me nervous. My physician always listens to me.,2.5,9.2,8.4,9.5,3.9,35,Female,Other,"< £30,000",Postgraduate
Visiting the doctor makes me nervous. My trust in healthcare professionals is very high.,6.5,4.8,9.4,8.8,1.2,71,Female,Black,"> £50,000",High School
Medical terms confuse me a lot. Visiting the doctor makes me nervous. My physician always listens to me.,1.2,4.4,8.3,9.9,1.6,54,Non-binary,White,"< £30,000",Postgraduate
"Visiting the doctor makes me nervous. I’ve had the same doctor for years, and I feel confident in their care. Some drugs caused side effects, but I worked with my doctor to adjust.",6.3,4.4,9.7,8.6,4.4,21,Female,Other,"£30,000-£50,000",College Diploma
"After a few trials, I found the right medication for my condition.",5.2,4.7,3.5,1.5,4.5,66,Female,Asian,"£30,000-£50,000",University Degree
"My doctor uses terminology I understand well. I trust my doctor and their advice completely. After a few trials, I found the right medication for my condition.",8.3,10.0,10.0,6.0,4.1,48,Male,Not Specified,"< £30,000",University Degree
I understand most medical terms and ask informed questions.,9.5,8.6,3.2,5.1,1.5,66,Male,Black,"< £30,000",High School
I understand most medical terms and ask informed questions. Clinics give me panic attacks sometimes.,9.6,6.5,3.1,7.0,3.5,27,Male,Black,"£30,000-£50,000",High School
My trust in healthcare professionals is very high. I have had mostly positive experiences with prescribed medications.,4.2,2.0,7.0,5.7,4.1,47,Non-binary,Asian,"£30,000-£50,000",College Diploma
"After a few trials, I found the right medication for my condition.",5.7,8.7,6.0,6.0,4.5,79,Non-binary,White,"< £30,000",University Degree
Visiting the doctor makes me nervous.,4.6,2.2,1.3,7.8,3.5,55,Male,Asian,"> £50,000",Postgraduate
I always research symptoms and medication before appointments.,7.3,2.9,2.2,1.1,2.4,78,Non-binary,Black,"< £30,000",College Diploma
I avoid going to hospitals unless absolutely necessary.,6.3,4.5,4.9,9.1,2.4,62,Female,Not Specified,"< £30,000",High School
"After a few trials, I found the right medication for my condition.",5.6,8.1,4.6,6.6,4.4,52,Female,Asian,"< £30,000",University Degree
I feel confident navigating health portals and understanding prescriptions. Doctors have always helped me recover well.,9.5,2.3,9.3,5.4,2.0,72,Female,Other,"< £30,000",Postgraduate
,5.1,9.8,5.4,4.0,3.5,63,Male,Other,"< £30,000",University Degree
,3.2,1.7,2.2,2.2,1.6,57,Non-binary,Other,"£30,000-£50,000",Postgraduate
"Medical terms confuse me a lot. After a few trials, I found the right medication for my condition.",2.2,6.8,2.6,4.1,4.6,70,Non-binary,Not Specified,"£30,000-£50,000",University Degree
,5.3,7.0,2.6,2.7,1.2,35,Female,Black,"£30,000-£50,000",Postgraduate
It’s hard to follow what my doctor says.,2.5,3.5,2.6,1.8,1.5,39,Male,Other,"£30,000-£50,000",College Diploma
,5.1,2.9,4.3,5.5,3.8,31,Female,Asian,"£30,000-£50,000",University Degree
I feel lost when reading health information. Prescription drugs really helped my chronic pain.,1.4,8.2,6.7,1.7,4.5,74,Non-binary,Asian,"> £50,000",High School
Medical journals help me stay informed about my condition. Visiting the doctor makes me nervous. Medication has been effective in managing my symptoms.,9.3,1.5,3.5,8.3,4.0,23,Male,Other,"£30,000-£50,000",College Diploma
It’s hard to follow what my doctor says.,2.7,2.9,4.3,5.4,3.5,68,Male,White,"£30,000-£50,000",College Diploma
Doctors have always helped me recover well.,4.3,5.2,7.7,1.3,2.0,62,Male,Asian,"> £50,000",University Degree
I feel confident navigating health portals and understanding prescriptions.,7.4,9.1,5.6,5.8,1.4,53,Non-binary,Asian,"£30,000-£50,000",University Degree
,5.0,5.8,3.2,3.4,2.5,62,Female,Asian,"£30,000-£50,000",University Degree
I feel lost when reading health information.,1.2,3.9,2.9,3.9,1.5,32,Male,Black,"£30,000-£50,000",High School
Medical journals help me stay informed about my condition. I avoid going to hospitals unless absolutely necessary. My trust in healthcare professionals is very high.,9.0,6.3,7.1,8.1,3.0,78,Non-binary,Black,"< £30,000",College Diploma
Medical terms confuse me a lot. I avoid going to hospitals unless absolutely necessary.,1.8,5.8,6.3,7.7,2.7,80,Non-binary,Not Specified,"£30,000-£50,000",High School
I feel lost when reading health information.,2.1,3.6,4.3,6.8,3.3,32,Female,Black,"£30,000-£50,000",High School
,4.2,9.9,6.5,3.1,1.4,26,Female,White,"< £30,000",University Degree
I feel lost when reading health information.,2.4,3.2,2.4,2.7,2.1,62,Male,Other,"< £30,000",High School
Medical terms confuse me a lot.,2.6,9.1,1.7,5.7,2.6,36,Female,Other,"£30,000-£50,000",University Degree
I always research symptoms and medication before appointments. Visiting the doctor makes me nervous. Medication has been effective in managing my symptoms.,9.8,2.0,4.6,9.7,4.5,79,Male,Asian,"£30,000-£50,000",High School
"I understand most medical terms and ask informed questions. I avoid going to hospitals unless absolutely necessary. After a few trials, I found the right medication for my condition.",8.4,3.3,2.5,7.0,4.7,22,Non-binary,White,"< £30,000",College Diploma
I get sweaty palms before appointments.,6.0,6.1,3.5,7.9,1.7,33,Male,Not Specified,"£30,000-£50,000",College Diploma
,3.9,4.8,5.6,3.2,1.5,42,Female,Other,"£30,000-£50,000",Postgraduate
,6.5,3.6,6.2,2.4,2.9,37,Non-binary,Not Specified,"< £30,000",High School
,5.8,1.5,4.0,2.2,1.3,78,Male,Black,"£30,000-£50,000",High School
My doctor uses terminology I understand well. I trust my doctor and their advice completely.,9.9,3.9,8.3,3.3,3.7,28,Male,Black,"> £50,000",High School
I always research symptoms and medication before appointments.,7.8,6.4,5.2,4.7,2.4,44,Female,Not Specified,"£30,000-£50,000",University Degree
I always research symptoms and medication before appointments. My physician always listens to me.,9.4,8.5,9.7,2.1,3.9,32,Female,Asian,"> £50,000",Postgraduate
Medical journals help me stay informed about my condition. I feel really anxious before seeing any doctor.,9.4,2.6,1.6,7.7,3.3,77,Female,Not Specified,"> £50,000",College Diploma
I always research symptoms and medication before appointments. I trust my doctor and their advice completely.,8.6,2.3,8.2,2.8,1.7,52,Male,Black,"£30,000-£50,000",College Diploma
It’s hard to follow what my doctor says. I trust my doctor and their advice completely.,2.5,8.3,7.0,5.7,2.4,28,Female,Not Specified,"> £50,000",University Degree
I feel confident navigating health portals and understanding prescriptions. My trust in healthcare professionals is very high.,8.9,4.5,8.3,5.0,2.5,47,Non-binary,Asian,"> £50,000",Postgraduate
Doctors have always helped me recover well.,5.2,3.7,7.7,5.5,1.9,52,Female,Other,"< £30,000",High School
I always research symptoms and medication before appointments. Clinics give me panic attacks sometimes.,9.1,4.5,5.9,9.2,3.5,65,Female,Not Specified,"£30,000-£50,000",High School
I often nod even when I don’t understand.,2.1,9.5,6.6,4.0,1.6,79,Non-binary,Not Specified,"> £50,000",High School
I feel confident navigating health portals and understanding prescriptions. Clinics give me panic attacks sometimes. I have had mostly positive experiences with prescribed medications.,8.1,6.6,5.8,9.0,4.2,54,Male,Black,"£30,000-£50,000",Postgraduate
I often nod even when I don’t understand. Visiting the doctor makes me nervous.,2.4,3.8,3.2,7.7,1.1,45,Non-binary,Other,"< £30,000",Postgraduate
Doctors have always helped me recover well. Medication has been effective in managing my symptoms.,6.1,7.9,8.9,4.1,4.3,39,Female,White,"< £30,000",University Degree
"It’s hard to follow what my doctor says. After a few trials, I found the right medication for my condition.",2.0,8.6,2.1,4.6,4.2,36,Non-binary,Other,"> £50,000",High School
I feel lost when reading health information. I feel really anxious before seeing any doctor. My trust in healthcare professionals is very high.,2.3,3.1,7.5,7.5,3.6,38,Female,Asian,"< £30,000",Postgraduate
I understand most medical terms and ask informed questions.,7.2,5.9,3.3,4.1,1.7,47,Female,White,"< £30,000",University Degree
I feel confident navigating health portals and understanding prescriptions. I have had mostly positive experiences with prescribed medications.,9.2,6.3,4.6,5.2,4.8,66,Female,Other,"< £30,000",College Diploma
I don’t get what doctors say most of the time.,2.4,6.3,5.6,6.5,1.1,26,Female,Other,"> £50,000",Postgraduate
"I feel confident navigating health portals and understanding prescriptions. I get sweaty palms before appointments. After a few trials, I found the right medication for my condition.",8.8,9.4,6.1,7.3,4.7,19,Non-binary,Not Specified,"< £30,000",College Diploma
Medical journals help me stay informed about my condition.,7.4,2.4,6.2,6.5,2.7,53,Female,White,"< £30,000",High School
"I understand most medical terms and ask informed questions. I’ve had the same doctor for years, and I feel confident in their care.",7.6,9.4,9.3,5.1,1.5,78,Male,Black,"£30,000-£50,000",University Degree
I understand most medical terms and ask informed questions. Clinics give me panic attacks sometimes. Medication has been effective in managing my symptoms.,9.9,8.6,2.1,9.3,4.5,44,Female,Other,"< £30,000",Postgraduate
,5.7,6.3,4.6,1.5,2.3,30,Non-binary,Not Specified,"> £50,000",College Diploma
I understand most medical terms and ask informed questions.,8.2,1.0,4.0,4.6,3.1,73,Male,Asian,"£30,000-£50,000",University Degree
I understand most medical terms and ask informed questions. I get sweaty palms before appointments.,9.3,4.1,4.1,7.6,2.8,35,Male,Asian,"> £50,000",University Degree
I often nod even when I don’t understand.,3.0,5.1,2.3,2.6,3.0,60,Female,Black,"£30,000-£50,000",Postgraduate
,4.8,9.2,4.3,6.2,3.5,39,Non-binary,Not Specified,"£30,000-£50,000",Postgraduate
I feel lost when reading health information. Visiting the doctor makes me nervous.,1.1,7.0,2.6,9.6,1.6,77,Female,Black,"> £50,000",College Diploma
Doctors have always helped me recover well.,4.7,1.8,10.0,5.5,3.4,32,Female,White,"£30,000-£50,000",Postgraduate
Medical terms confuse me a lot. I get sweaty palms before appointments.,1.6,7.7,2.9,9.1,1.8,42,Non-binary,Black,"£30,000-£50,000",High School
I don’t get what doctors say most of the time.,2.7,1.3,5.2,6.1,1.3,79,Non-binary,Asian,"< £30,000",Postgraduate
Medical journals help me stay informed about my condition.,8.0,5.1,5.7,5.0,2.6,51,Female,White,"> £50,000",College Diploma
"I avoid going to hospitals unless absolutely necessary. Some drugs caused side effects, but I worked with my doctor to adjust.",6.0,2.4,2.6,8.8,4.8,73,Non-binary,Black,"< £30,000",Postgraduate
,4.4,3.4,6.8,4.7,1.1,57,Non-binary,Other,"> £50,000",High School
It’s hard to follow what my doctor says.,2.4,7.4,6.9,1.2,1.9,72,Female,Not Specified,"£30,000-£50,000",University Degree
Prescription drugs really helped my chronic pain.,3.1,7.0,1.2,1.9,4.2,73,Non-binary,White,"> £50,000",High School
It’s hard to follow what my doctor says.,2.6,6.9,3.1,1.9,2.0,58,Non-binary,Asian,"< £30,000",High School
I feel confident navigating health portals and understanding prescriptions. I trust my doctor and their advice completely.,7.5,8.7,8.5,4.6,3.7,80,Male,White,"£30,000-£50,000",College Diploma
I often nod even when I don’t understand. Doctors have always helped me recover well.,2.8,3.6,9.1,1.1,1.3,20,Female,White,"£30,000-£50,000",University Degree
Medical terms confuse me a lot.,2.9,1.2,2.6,6.2,2.7,27,Male,Not Specified,"£30,000-£50,000",College Diploma
Medical journals help me stay informed about my condition.,9.0,8.4,4.1,3.3,2.5,29,Male,Not Specified,"£30,000-£50,000",College Diploma
,6.3,3.4,6.6,4.7,3.2,76,Non-binary,Black,"< £30,000",Postgraduate
"Visiting the doctor makes me nervous. I’ve had the same doctor for years, and I feel confident in their care.",4.9,3.7,9.5,7.9,1.6,58,Female,Other,"£30,000-£50,000",High School
"I feel confident navigating health portals and understanding prescriptions. I get sweaty palms before appointments. I’ve had the same doctor for years, and I feel confident in their care.",8.8,5.4,9.1,8.2,2.7,61,Non-binary,Black,"< £30,000",Postgraduate
Medical terms confuse me a lot.,1.2,3.4,5.9,6.7,2.0,58,Female,Asian,"£30,000-£50,000",University Degree
"I feel lost when reading health information. I’ve had the same doctor for years, and I feel confident in their care.",2.3,8.5,9.9,5.7,1.7,42,Female,White,"< £30,000",Postgraduate
"I’ve had the same doctor for years, and I feel confident in their care.",3.5,1.2,9.2,2.1,3.3,54,Female,Asian,"< £30,000",Postgraduate
I avoid going to hospitals unless absolutely necessary.,3.5,6.0,6.9,8.5,1.8,18,Non-binary,White,"> £50,000",Postgraduate
"Medical terms confuse me a lot. I get sweaty palms before appointments. I’ve had the same doctor for years, and I feel confident in their care.",1.1,2.2,9.1,8.9,3.4,67,Male,Not Specified,"£30,000-£50,000",College Diploma
I feel really anxious before seeing any doctor.,6.4,7.0,2.6,9.2,2.7,61,Non-binary,Black,"> £50,000",High School
Prescription drugs really helped my chronic pain.,4.4,5.7,1.4,2.5,4.0,37,Female,White,"> £50,000",University Degree
Medical terms confuse me a lot.,1.7,6.4,3.2,4.5,2.2,23,Female,Asian,"> £50,000",Postgraduate
,4.2,7.5,3.7,6.1,2.9,30,Male,Not Specified,"£30,000-£50,000",University Degree
I feel confident navigating health portals and understanding prescriptions. I trust my doctor and their advice completely.,7.0,9.4,7.6,2.9,1.1,71,Male,Asian,"£30,000-£50,000",University Degree
,3.4,6.4,1.5,5.5,3.4,47,Male,Black,"< £30,000",Postgraduate
,4.0,7.9,2.0,1.7,3.9,79,Non-binary,Asian,"< £30,000",Postgraduate
"Some drugs caused side effects, but I worked with my doctor to adjust.",5.5,7.2,4.9,3.2,4.3,18,Female,Not Specified,"< £30,000",Postgraduate
I feel confident navigating health portals and understanding prescriptions.,8.2,7.3,3.4,6.3,2.4,61,Non-binary,Asian,"> £50,000",Postgraduate
I feel lost when reading health information. I get sweaty palms before appointments.,1.8,9.3,2.2,9.6,2.8,24,Non-binary,Black,"£30,000-£50,000",High School
"It’s hard to follow what my doctor says. I avoid going to hospitals unless absolutely necessary. Doctors have always helped me recover well. After a few trials, I found the right medication for my condition.",2.7,5.9,8.9,7.6,4.2,38,Non-binary,Black,"> £50,000",High School
I trust my doctor and their advice completely.,6.9,7.2,8.6,3.2,3.0,26,Male,White,"£30,000-£50,000",Postgraduate
"It’s hard to follow what my doctor says. I’ve had the same doctor for years, and I feel confident in their care.",3.0,9.9,9.5,1.4,3.8,24,Male,Not Specified,"< £30,000",Postgraduate
Medical journals help me stay informed about my condition. I feel really anxious before seeing any doctor.,9.3,2.6,6.1,9.2,1.1,60,Non-binary,Not Specified,"£30,000-£50,000",College Diploma
I always research symptoms and medication before appointments. I avoid going to hospitals unless absolutely necessary. My physician always listens to me. Medication has been effective in managing my symptoms.,7.3,3.7,9.3,9.7,4.8,71,Female,Not Specified,"£30,000-£50,000",University Degree
